Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2020-12-12,19.287447869959994,18.90378963976712,18.88581175827882,18.766641470682824,18.431940468749737,18.40106862084804,19.310532955864367,19.907271687874065,20.944103155464077,22.774706649007598,23.157197201606557,23.894919942111216,23.830993738978265,23.718476441279236,23.681673131872998,24.52761215391287,25.90889972226018,27.267408917958107,24.96311792177127,23.057669669670496,22.482570525456566,21.82648394220263,21.65913998532504,21.362117907691058
2020-12-13,22.647251898519265,22.219012805000464,22.14334144716449,21.99640074699689,21.89954726932023,21.64613681836716,22.146553065659347,24.34436084967369,27.023717416608662,26.8902960126372,26.785723573559494,27.24138578154377,27.007352036572357,26.808321006161336,26.775012255618005,27.410327357484253,28.86143468391311,31.009254511951365,29.194124611880557,25.97799915353842,24.575209339622663,23.958908731011945,23.43610397138741,22.39135976527541
2020-12-14,21.47111810254931,21.216565770215475,20.616957048245293,20.387762136583703,20.89238984187405,22.66755191422693,24.71692313248231,28.69341050317039,30.611062747440393,29.482035102730745,28.323825249437945,27.640988341388837,26.87510577729806,27.193947838181444,27.5277531324194,28.363615852895556,29.305514981965043,31.194897046500884,29.095848399934894,25.909941445060195,23.542940883136886,23.08369560680447,22.181189694137608,21.30274925554639
2020-12-15,18.76876710884164,18.15115263720228,17.895144384149727,17.914917584789556,18.85566822101886,21.660894542370173,24.067470739306565,27.900039244138387,29.560542800926292,29.469487619132416,28.896659234549617,28.81000318830374,28.89135788644234,28.98107999659029,29.283026141863903,29.87632861113296,31.464947548022224,32.79236773237837,30.289134138500977,27.565707755241206,25.58517844472975,24.72210354480606,23.547892729628167,22.473220970496087
2020-12-16,21.99016869772408,21.378807678922595,20.928333557270108,20.83584300703967,22.15048833337461,25.412133643556455,29.56509471740805,37.41550750433151,41.34994336975907,39.22412964262484,37.636277870353084,35.536086351338476,34.10677567043719,33.853379615300334,35.5570038761013,37.544162477444026,39.4624647476098,41.89054446381062,39.62207822300425,33.2868582919742,28.944994284408427,25.835908994978496,23.810635472874356,20.847645924372365
2020-12-17,19.703618341791085,19.18255780805019,18.480297603888374,18.721070673128885,19.721980205964478,21.394735483394207,23.724407284516975,29.768059489238038,34.18656698447065,32.721403898503894,31.25538216158606,30.69751948804688,30.057568387527077,30.125176066153102,31.82982860259759,34.79573674620518,37.37409587811928,35.99764075799391,31.33252999935069,27.09567212595819,24.959818051800767,23.39382141077572,21.96982293137412,20.18431171233417
2020-12-18,18.97343993313958,18.078471950298017,17.648547417025036,18.28413562130994,18.762766801079586,20.303074452193165,22.213761960959722,23.633148480330107,23.572133839172665,24.573652705375807,25.334558927765265,25.25730882521991,24.872474172635634,24.784832879640735,24.527559982636163,25.007480910587628,26.079321853024737,26.833330253130725,23.772784030720988,22.526911752917464,22.024259000583154,21.39501907756184,20.942570493037067,19.767448784200717
2020-12-19,16.044061130302424,15.027006322882123,14.689100237182517,14.400976565457714,14.797593418271877,15.211347534675193,15.003239337235353,14.187203593268752,14.334451271220964,15.36062655860265,17.3910276768522,18.883233693173793,19.229618486396234,18.53386623225981,18.21155992663692,19.679614466347424,20.812543343706075,17.277015720336145,16.752918106493244,17.07826524946327,17.88561358010199,17.6213905805745,17.364952817528135,15.88129205343549
2020-12-20,13.290364432066045,12.328295741947993,11.50631971619299,11.277477040814151,11.323840675073395,11.638434819914739,10.684794382534914,9.909985198630668,11.37599035224964,13.837770087435267,15.102737068016857,16.614310059099616,16.577764698303966,16.253182436066915,16.484302264700254,17.501556610136646,19.092356759225197,19.420653737019894,18.072331395123744,17.099336056301574,16.46706420601027,15.925695909706535,15.216546549094678,13.948966638816879
2020-12-21,12.346640188420338,11.80290955138798,11.529357911956279,11.856154550508286,13.014520375089225,15.69725719376143,18.005940207942295,21.16638313764193,23.42540664244114,22.736090158093024,21.944499332987114,22.08006237733485,21.870798548974456,21.801954965854,22.3057229651843,23.00795557140526,23.842447881827788,24.52511772611851,22.176425056458157,19.827181847734565,17.88628261390661,16.985574667377755,16.30066058780072,14.209118716435714
2020-12-22,8.134295512773129,7.655064638028968,7.205236568797563,8.178554866912108,9.15159939833299,13.31140474422434,15.77684064224342,20.104537273198027,22.45069287627563,21.03322454985505,20.350113433775753,20.013728707916343,20.7011893602942,20.493844423970863,21.79343953967397,23.318344188920985,24.23536766424431,25.212489036030888,23.476536238967093,20.946863832120016,18.987519057624713,17.365799434722895,16.401197294863792,15.254221608219536
2020-12-23,12.49931421117067,12.333577499990366,12.226038469234481,12.436285672197629,13.963755370322746,15.515546442349203,18.10327865550242,22.57250896256674,24.297674944406467,24.223777316925073,23.726832721633038,23.598537924589472,23.495333889965323,23.858874966948456,24.90621451650071,26.010782506779808,27.260156782650128,27.95509322231068,25.545047641681133,21.89748072551002,19.4040536026205,18.482698006599186,18.02213051931397,17.41723573447785
2020-12-24,14.110258322082627,13.882277362282865,12.573095871557268,12.350053693833804,11.01310710425663,11.618705312485165,12.592937320117823,13.277092471846657,15.585489227245752,15.22981681041118,15.527715828323675,15.584415179712796,15.033142124919213,15.08463354926026,15.33819729772464,16.117854907496312,17.00170771031703,16.619031416694664,15.687243404214431,13.467592270886435,12.839092629111665,12.46266067481313,12.612385686504197,13.35458912260145
