Dates,Price, Generation forecast (FR),System load forecast (FR) (MW),Day-Ahead Generation forecast wind (BE) (MWh),Day-ahead generation forecast Solar (BE) (MWh),Grid load forecast (BE) (MW)
2021-12-23 02:00:00,0.7562864212490117,0.0,0.0,-0.11327276694847953,0.004135239798950603,0.0
2021-12-23 03:00:00,0.5939560196414583,0.0,0.0,-0.2214810330644663,0.0,0.06188474849470643
2021-12-23 04:00:00,0.5204330934076162,0.02879632211529597,0.06510813061739845,-0.32055463403025214,0.0,0.028890103488106833
2021-12-23 05:00:00,0.6712941363968434,0.029997390876374427,0.0,-0.14489277957202715,0.0,0.04574423765836789
2021-12-23 06:00:00,0.4491285816548368,0.12518040210327433,0.010527570400155424,-0.2744815764005274,-0.02147455957977202,0.24238235221438917
2021-12-23 07:00:00,0.4554082401095747,0.14568653801333897,0.29901574093706174,-0.37061815517781954,-0.0032776164243656877,0.10868135508819839
2021-12-23 08:00:00,0.3840332609559577,0.2755350556888113,0.31276528472282555,-0.49988539909569474,-0.020772166625690234,0.1991723924523871
2021-12-23 09:00:00,0.3610584968264281,0.2640162177112665,0.19069891183743412,-0.3190844835085082,-0.027226339070821077,0.0
2021-12-23 10:00:00,0.33345037938331623,0.30922504238663456,0.0008053728957717018,-0.2464441298429909,0.001989710092228515,0.0
2021-12-23 11:00:00,0.2741624779762212,0.2909591704757429,-0.023675089243503,-0.2790319640956741,-0.048942280392537105,0.0
2021-12-23 12:00:00,0.41448643056684026,0.4256182354916938,-0.03120751186032353,-0.2711084978103697,0.0,0.0
2021-12-23 13:00:00,0.45236960654161973,0.253920192245228,-0.07254580687454948,-0.24344407966044398,-0.025134277173441744,0.0
2021-12-23 14:00:00,0.42573884492901415,0.1597942581845144,0.0,-0.2708997508259391,-0.07263172099718473,0.09937702250001133
2021-12-23 15:00:00,0.39354261239418953,0.17363207632584768,0.009001130262357314,-0.23759504630582726,0.0,0.16014783148339176
2021-12-23 16:00:00,0.38470260450113164,0.15155479864281485,0.152090460046465,-0.2852740485054924,0.029989007430832038,0.0
2021-12-23 17:00:00,0.528230856637106,0.2752400865680369,0.15492883336376218,-0.20637841205330135,0.05053173571452138,0.0
2021-12-23 18:00:00,0.5153443326893876,0.19016767454368572,0.13806288721224452,-0.375862367866053,0.0,0.04227260387500854
2021-12-23 19:00:00,0.4547477138059449,0.296380998852351,0.1569201414322712,-0.2598798499693674,0.0,0.0
